season,team,games_played,wins,losses,win_pct,pts_for,pts_against,ppg,opp_ppg,score_margin_pg,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,tov,stl,blk,fouls,poss,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,tov_pct,oreb_pct,dreb_pct,ft_rate,three_pt_rate,two_pt_rate,assist_rate,off_rating,def_rating,net_rating,pace,rank_ppg,rank_opp_ppg,rank_off_rating,rank_def_rating,rank_net_rating,rank_efg_pct,rank_tov_pct,rank_oreb_pct,rank_ft_rate
2026,Alameda Wolves,2,2,0,1.0,140,127,70.0,63.5,6.5,46,141,30,85,16,56,32,39,20,60,80,24,21,20,7,21,159.16,0.3262411347517731,0.35294117647058826,0.2857142857142857,0.8205128205128205,0.3829787234042553,0.4425897824987355,0.13194269917064588,0.24096385542168675,0.7058823529411765,0.2765957446808511,0.3971631205673759,0.6028368794326241,0.5217391304347826,87.96179944709726,76.30377313145878,11.65802631563848,15.920696605498623,6,1,3,2,2,6,1,7,4
2026,Bay Area Phoenix,2,1,1,0.5,157,164,78.5,82.0,-3.5,58,173,48,133,10,40,31,43,52,50,102,22,41,28,2,36,180.92000000000002,0.3352601156069364,0.3609022556390977,0.25,0.7209302325581395,0.36416184971098264,0.40902459358065857,0.22661950033163827,0.5473684210526316,0.6410256410256411,0.24855491329479767,0.23121387283236994,0.7687861271676301,0.3793103448275862,86.77868671235905,95.21597770552717,-8.43729099316812,18.03411050527806,4,5,4,6,5,7,6,1,6
2026,Bay City Blaze,2,2,0,1.0,200,136,100.0,68.0,32.0,76,155,56,94,20,61,28,33,29,61,90,42,42,28,10,27,182.51999999999998,0.49032258064516127,0.5957446808510638,0.32786885245901637,0.8484848484848485,0.5548387096774193,0.5899008966493628,0.23011176857330706,0.4142857142857143,0.6703296703296703,0.2129032258064516,0.3935483870967742,0.6064516129032258,0.5526315789473685,109.57703265395575,74.28446580729735,35.2925668466584,18.178558623162424,1,2,1,1,1,1,7,2,8
2026,Hayward Reign,2,0,2,0.0,136,149,68.0,74.5,-6.5,47,137,28,67,19,70,23,37,20,49,69,26,37,16,3,38,170.28,0.34306569343065696,0.417910447761194,0.2714285714285714,0.6216216216216216,0.4124087591240876,0.44363256784968685,0.21728917077754287,0.24691358024691357,0.6805555555555556,0.27007299270072993,0.5109489051094891,0.48905109489051096,0.5531914893617021,79.86845196147522,91.72617581876385,-11.857723857288633,15.141147990316707,7,3,8,5,6,4,5,6,5
2026,Oakland Swish,2,1,1,0.5,158,157,79.0,78.5,0.5,57,153,45,92,12,61,32,46,27,61,88,36,36,24,12,27,182.24,0.37254901960784315,0.4891304347826087,0.19672131147540983,0.6956521739130435,0.4117647058823529,0.45601477718771644,0.19754170324846357,0.2872340425531915,0.7439024390243902,0.3006535947712418,0.39869281045751637,0.6013071895424836,0.631578947368421,86.69885864793679,86.6063548102383,0.09250383769848725,18.229286493082995,3,4,5,3,4,5,4,5,3
2026,Royals,2,1,1,0.5,174,165,87.0,82.5,4.5,66,162,45,103,21,59,21,35,18,64,82,44,31,29,4,43,190.4,0.4074074074074074,0.4368932038834951,0.3559322033898305,0.6,0.4722222222222222,0.4904171364148816,0.16281512605042017,0.23076923076923078,0.6464646464646465,0.21604938271604937,0.36419753086419754,0.6358024691358025,0.6666666666666666,91.38655462184873,90.28233749179252,1.1042171300562131,19.036097599992004,2,6,2,4,3,2,2,8,7
2026,SF Riptide,2,1,1,0.5,142,172,71.0,86.0,-15.0,49,132,37,84,12,48,32,41,24,55,79,23,41,26,1,40,167.04000000000002,0.3712121212121212,0.44047619047619047,0.25,0.7804878048780488,0.4166666666666667,0.47320714476139697,0.2454501915708812,0.3287671232876712,0.6875,0.3106060606060606,0.36363636363636365,0.6363636363636364,0.46938775510204084,85.0095785440613,96.91232814965068,-11.902749605589378,14.852984001298214,5,8,6,7,7,3,8,4,2
2026,Titans,2,0,2,0.0,134,171,67.0,85.5,-18.5,44,146,33,82,11,64,35,52,37,44,81,20,32,18,8,35,163.88,0.3013698630136986,0.4024390243902439,0.171875,0.6730769230769231,0.339041095890411,0.3967314069161535,0.1952648279228704,0.38144329896907214,0.5238095238095238,0.3561643835616438,0.4383561643835616,0.5616438356164384,0.45454545454545453,81.76714669270197,100.16401124648549,-18.396864553783516,16.385951756030497,8,7,7,8,8,8,3,3,1
