season,team,player_name,player_number,games_played,starts,bench_games,total_minutes,mpg,ppg,rpg,oreb_pg,dreb_pg,apg,spg,bpg,tov_pg,fouls_pg,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,usage_pct,ft_rate,three_pt_rate,two_pt_rate,ast_tov_ratio,ppsa,pts_per36,reb_per36,ast_per36,stl_per36,blk_per36,tov_per36,fouls_per36,avg_impact_score,percentile_scoring,percentile_efficiency,percentile_playmaking,percentile_rebounding,percentile_defense,percentile_rim_pressure,percentile_spacing,player_role_label,watchability_score
2026,Alameda Wolves,Aaniya Webb,0,2,2,0,55.632999999999996,27.816499999999998,5.5,3.5,1.0,2.5,0.5,2.5,0.5,3.0,2.5,2,14,1,6,1,8,6,8,0.14285714285714285,0.16666666666666666,0.125,0.75,0.17857142857142858,0.3139269406392694,0.18341086765049522,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.16666666666666666,0.7857142857142857,7.118077400104256,4.529685618248163,0.6470979454640232,3.235489727320116,0.6470979454640232,3.8825876727841395,3.235489727320116,14.007053219057886,23.9,16.9,12.7,28.2,81.7,58.45,50.25,Defensive Disruptor,41.8
2026,Alameda Wolves,Amber Harris,32,2,2,0,39.766,19.883,11.5,7.5,1.0,6.5,1.0,0.0,1.0,0.5,0.5,9,21,7,12,2,9,3,4,0.42857142857142855,0.5833333333333334,0.2222222222222222,0.75,0.47619047619047616,0.5052724077328646,0.25902578081778405,0.19047619047619047,0.42857142857142855,0.5714285714285714,2.0,1.0952380952380953,20.821807574309712,13.579439722375898,1.8105919629834533,0.0,1.8105919629834533,0.9052959814917266,0.9052959814917266,25.01275405102284,87.3,67.6,66.2,91.5,35.2,39.45,54.6,Small Sample Contributor,77.4
2026,Alameda Wolves,Bianca McGee,7,2,2,0,71.25,35.625,9.5,5.0,1.0,4.0,3.0,2.5,0.5,2.5,1.5,7,25,4,9,3,16,2,2,0.28,0.4444444444444444,0.1875,1.0,0.34,0.3670788253477589,0.18908460771929825,0.08,0.64,0.36,1.2,0.76,9.6,5.052631578947368,3.031578947368421,2.526315789473684,0.5052631578947369,2.526315789473684,1.5157894736842106,24.559025546908607,36.6,32.4,77.5,31.0,64.8,22.5,59.0,Connector,52.9
2026,Alameda Wolves,Jasmyne Huggins,2,2,0,2,40.2,20.1,1.0,6.0,3.5,2.5,0.5,1.0,1.0,0.5,1.5,0,8,0,8,0,0,2,2,0.0,0.0,,1.0,0.0,0.1126126126126126,0.1057223880597015,0.25,0.0,1.0,1.0,0.25,1.7910447761194028,10.746268656716417,0.8955223880597014,1.7910447761194028,1.7910447761194028,0.8955223880597014,2.6865671641791042,10.500343129881454,1.4,1.4,34.5,85.9,77.5,75.0,3.85,Glass Cleaner,36.5
2026,Alameda Wolves,Leilani Gonzales,5,2,0,2,31.7,15.85,1.5,1.0,0.5,0.5,0.0,1.0,0.5,0.0,1.0,1,5,1,5,0,0,1,1,0.2,0.2,,1.0,0.2,0.275735294117647,0.07502641324921136,0.2,0.0,1.0,,0.6,3.406940063091483,2.271293375394322,0.0,2.271293375394322,1.135646687697161,0.0,2.271293375394322,6.000343129881456,4.2,11.3,6.3,11.3,73.2,67.6,3.85,Small Sample Contributor,33.2
2026,Alameda Wolves,Micah Gray,3,2,2,0,64.883,32.4415,13.0,7.5,1.0,6.5,4.5,1.0,0.0,3.0,0.5,8,34,3,20,5,14,5,5,0.23529411764705882,0.15,0.35714285714285715,1.0,0.3088235294117647,0.3591160220994475,0.28103925527487944,0.14705882352941177,0.4117647058823529,0.5882352941176471,1.5,0.7647058823529411,14.425966740132239,8.32267311930706,4.993603871584236,1.1096897492409414,0.0,3.329069247722824,0.5548448746204707,26.501522275467643,60.6,28.2,90.1,67.6,19.7,38.05,65.15,Connector,64.0
2026,Alameda Wolves,Nevaeh Asiasi,24,2,2,0,69.1,34.55,20.5,6.5,2.0,4.5,2.5,1.0,0.0,1.0,2.5,15,26,13,23,2,3,9,13,0.5769230769230769,0.5652173913043478,0.6666666666666666,0.6923076923076923,0.6153846153846154,0.6462799495586381,0.2129046309696093,0.5,0.11538461538461539,0.8846153846153846,2.5,1.5769230769230769,21.3603473227207,6.772793053545587,2.604920405209841,1.0419681620839365,0.0,1.0419681620839365,2.604920405209841,35.855060426916296,90.1,88.7,80.3,52.1,15.5,79.6,60.0,Volume Scorer,86.4
2026,Alameda Wolves,Star-Fitz Gerald,12,2,0,2,27.35,13.675,7.5,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.5,4,8,1,2,3,6,4,4,0.5,0.5,0.5,1.0,0.6875,0.7684426229508197,0.15585528336380253,0.5,0.75,0.25,,1.875,19.744058500914075,7.897623400365631,0.0,2.6325411334552102,0.0,0.0,1.3162705667276051,17.585268766403146,81.7,95.8,6.3,66.2,56.3,45.449999999999996,89.25,Small Sample Contributor,75.0
2026,Bay Area Phoenix,Alisha Wilson,3,2,1,1,58.81700000000001,29.408500000000004,7.5,13.5,5.0,8.5,0.5,2.5,0.0,0.5,1.5,6,18,6,18,0,0,3,6,0.3333333333333333,0.3333333333333333,,0.5,0.3333333333333333,0.3633720930232558,0.1250853749766224,0.3333333333333333,0.0,1.0,1.0,0.8333333333333334,9.181019093119334,16.525834367614802,0.612067939541289,3.0603396977064454,0.0,0.612067939541289,1.8362038186238672,30.858873240950917,32.4,31.0,26.8,98.6,66.2,81.35,3.85,Glass Cleaner,60.4
2026,Bay Area Phoenix,Delia Moore,11,2,2,0,63.565999999999995,31.782999999999998,10.0,2.0,0.5,1.5,2.5,1.5,0.5,4.0,4.0,6,29,1,18,5,11,3,4,0.20689655172413793,0.05555555555555555,0.45454545454545453,0.75,0.29310344827586204,0.3250975292587776,0.20860265078815718,0.13793103448275862,0.3793103448275862,0.6206896551724138,0.625,0.6896551724137931,11.326809929836706,2.265361985967341,2.8317024824591766,1.699021489475506,0.5663404964918353,4.530723971934682,4.530723971934682,15.181760074682021,46.5,18.3,60.6,9.9,53.5,38.05,68.55,Floor Spacer,46.6
